,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.1,0.03,0.03,0.03
1,0.1,0.03,0.03,0.03
2,0.1,0.03,0.03,0.03
3,0.1,0.03,0.03,0.03
4,0.1,0.03,0.03,0.03
5,0.1,0.03,0.03,0.03
6,0.1,0.03,0.03,0.03
7,0.1,0.03,0.03,0.03
8,0.1,0.03,0.03,0.03
9,0.1,0.03,0.03,0.03
10,0.1,0.03,0.03,0.03
11,0.1,0.03,0.03,0.03
12,0.1,0.03,0.03,0.03
13,0.1,0.03,0.03,0.03
14,0.1,0.03,0.03,0.03
15,0.1,0.03,0.03,0.03
16,0.1,0.03,0.03,0.03
17,0.1,0.03,0.03,0.03
18,0.1,0.03,0.03,0.03
19,0.1,0.03,0.03,0.03
20,0.1,0.03,0.03,0.03
21,0.1,0.03,0.03,0.03
22,0.1,0.03,0.03,0.03
23,0.1,0.03,0.03,0.03
24,0.1,0.03,0.03,0.03
25,0.1,0.03,0.03,0.03
26,0.1,0.03,0.03,0.03
27,0.1,0.03,0.03,0.03
28,0.1,0.03,0.03,0.03
29,0.1,0.03,0.03,0.03
30,0.1,0.03,0.03,0.03
31,0.1,0.03,0.03,0.03
32,0.1,0.03,0.03,0.03
33,0.1,0.03,0.03,0.03
34,0.1,0.03,0.03,0.03
35,0.1,0.03,0.03,0.03
36,0.1,0.03,0.03,0.03
37,0.1,0.03,0.03,0.03
38,0.1,0.03,0.03,0.03
39,0.1,0.03,0.03,0.03
40,0.1,0.03,0.03,0.03
41,0.1,0.03,0.03,0.03
42,0.1,0.03,0.03,0.03
43,0.1,0.03,0.03,0.03
44,0.1,0.03,0.03,0.03
45,0.1,0.03,0.03,0.03
46,0.1,0.03,0.03,0.03
47,0.1,0.03,0.03,0.03
48,0.1,0.03,0.03,0.03
49,0.1,0.03,0.03,0.03
50,0.1,0.03,0.03,0.03
51,0.1,0.03,0.03,0.03
52,0.1,0.03,0.03,0.03
53,0.1,0.03,0.03,0.03
54,0.1,0.03,0.03,0.03
55,0.1,0.03,0.03,0.03
56,0.1,0.03,0.03,0.03
57,0.1,0.03,0.03,0.03
58,0.1,0.03,0.03,0.03
59,0.1,0.03,0.03,0.03
60,0.1,0.03,0.03,0.03
61,0.1,0.03,0.03,0.03
62,0.1,0.03,0.03,0.03
63,0.1,0.03,0.03,0.03
64,0.1,0.03,0.03,0.03
65,0.1,0.03,0.03,0.03
66,0.1,0.03,0.03,0.03
67,0.1,0.03,0.03,0.03
68,0.1,0.03,0.03,0.03
69,0.1,0.03,0.03,0.03
70,0.1,0.03,0.03,0.03
71,0.1,0.03,0.03,0.03
72,0.1,0.03,0.03,0.03
73,0.1,0.03,0.03,0.03
74,0.1,0.03,0.03,0.03
75,0.1,0.03,0.03,0.03
76,0.1,0.03,0.03,0.03
77,0.1,0.03,0.03,0.03
78,0.1,0.03,0.03,0.03
79,0.1,0.03,0.03,0.03
80,0.1,0.03,0.03,0.03
81,0.1,0.03,0.03,0.03
82,0.1,0.03,0.03,0.03
83,0.1,0.03,0.03,0.03
84,0.1,0.03,0.03,0.03
85,0.1,0.03,0.03,0.03
86,0.1,0.03,0.03,0.03
87,0.1,0.03,0.03,0.03
88,0.1,0.03,0.03,0.03
89,0.1,0.03,0.03,0.03
90,0.1,0.03,0.03,0.03
91,0.1,0.03,0.03,0.03
92,0.1,0.03,0.03,0.03
93,0.1,0.03,0.03,0.03
94,0.1,0.03,0.03,0.03
95,0.1,0.03,0.03,0.03
96,0.1,0.03,0.03,0.03
97,0.1,0.03,0.03,0.03
98,0.1,0.03,0.03,0.03
99,0.1,0.03,0.03,0.03
