,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.2,0.28,0.28,0.28
1,0.2,0.28,0.28,0.28
2,0.2,0.28,0.28,0.28
3,0.2,0.28,0.28,0.28
4,0.2,0.28,0.28,0.28
5,0.2,0.28,0.28,0.28
6,0.2,0.28,0.28,0.28
7,0.2,0.28,0.28,0.28
8,0.2,0.28,0.28,0.28
9,0.2,0.28,0.28,0.28
10,0.2,0.28,0.28,0.28
11,0.2,0.28,0.28,0.28
12,0.2,0.28,0.28,0.28
13,0.2,0.28,0.28,0.28
14,0.2,0.28,0.28,0.28
15,0.2,0.28,0.28,0.28
16,0.2,0.28,0.28,0.28
17,0.2,0.28,0.28,0.28
18,0.2,0.28,0.28,0.28
19,0.2,0.28,0.28,0.28
20,0.2,0.28,0.28,0.28
21,0.2,0.28,0.28,0.28
22,0.2,0.28,0.28,0.28
23,0.2,0.28,0.28,0.28
24,0.2,0.28,0.28,0.28
25,0.2,0.28,0.28,0.28
26,0.2,0.28,0.28,0.28
27,0.2,0.28,0.28,0.28
28,0.2,0.28,0.28,0.28
29,0.2,0.28,0.28,0.28
30,0.2,0.28,0.28,0.28
31,0.2,0.28,0.28,0.28
32,0.2,0.28,0.28,0.28
33,0.2,0.28,0.28,0.28
34,0.2,0.28,0.28,0.28
35,0.2,0.28,0.28,0.28
36,0.2,0.28,0.28,0.28
37,0.2,0.28,0.28,0.28
38,0.2,0.28,0.28,0.28
39,0.2,0.28,0.28,0.28
40,0.2,0.28,0.28,0.28
41,0.2,0.28,0.28,0.28
42,0.2,0.28,0.28,0.28
43,0.2,0.28,0.28,0.28
44,0.2,0.28,0.28,0.28
45,0.2,0.28,0.28,0.28
46,0.2,0.28,0.28,0.28
47,0.2,0.28,0.28,0.28
48,0.2,0.28,0.28,0.28
49,0.2,0.28,0.28,0.28
