,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.5,0.16,0.16,0.16
1,0.5,0.16,0.16,0.16
2,0.5,0.16,0.16,0.16
3,0.5,0.16,0.16,0.16
4,0.5,0.16,0.16,0.16
5,0.5,0.16,0.16,0.16
6,0.5,0.16,0.16,0.16
7,0.5,0.16,0.16,0.16
8,0.5,0.16,0.16,0.16
9,0.5,0.16,0.16,0.16
10,0.5,0.16,0.16,0.16
11,0.5,0.16,0.16,0.16
12,0.5,0.16,0.16,0.16
13,0.5,0.16,0.16,0.16
14,0.5,0.16,0.16,0.16
15,0.5,0.16,0.16,0.16
16,0.5,0.16,0.16,0.16
17,0.5,0.16,0.16,0.16
18,0.5,0.16,0.16,0.16
19,0.5,0.16,0.16,0.16
20,0.5,0.16,0.16,0.16
21,0.5,0.16,0.16,0.16
22,0.5,0.16,0.16,0.16
23,0.5,0.16,0.16,0.16
24,0.5,0.16,0.16,0.16
25,0.5,0.16,0.16,0.16
26,0.5,0.16,0.16,0.16
27,0.5,0.16,0.16,0.16
28,0.5,0.16,0.16,0.16
29,0.5,0.16,0.16,0.16
30,0.5,0.16,0.16,0.16
31,0.5,0.16,0.16,0.16
32,0.5,0.16,0.16,0.16
33,0.5,0.16,0.16,0.16
34,0.5,0.16,0.16,0.16
35,0.5,0.16,0.16,0.16
36,0.5,0.16,0.16,0.16
37,0.5,0.16,0.16,0.16
38,0.5,0.16,0.16,0.16
39,0.5,0.16,0.16,0.16
40,0.5,0.16,0.16,0.16
41,0.5,0.16,0.16,0.16
42,0.5,0.16,0.16,0.16
43,0.5,0.16,0.16,0.16
44,0.5,0.16,0.16,0.16
45,0.5,0.16,0.16,0.16
46,0.5,0.16,0.16,0.16
47,0.5,0.16,0.16,0.16
48,0.5,0.16,0.16,0.16
49,0.5,0.16,0.16,0.16
50,0.5,0.16,0.16,0.16
51,0.5,0.16,0.16,0.16
52,0.5,0.16,0.16,0.16
53,0.5,0.16,0.16,0.16
54,0.5,0.16,0.16,0.16
55,0.5,0.16,0.16,0.16
56,0.5,0.16,0.16,0.16
57,0.5,0.16,0.16,0.16
58,0.5,0.16,0.16,0.16
59,0.5,0.16,0.16,0.16
60,0.5,0.16,0.16,0.16
61,0.5,0.16,0.16,0.16
62,0.5,0.16,0.16,0.16
63,0.5,0.16,0.16,0.16
64,0.5,0.16,0.16,0.16
65,0.5,0.16,0.16,0.16
66,0.5,0.16,0.16,0.16
67,0.5,0.16,0.16,0.16
68,0.5,0.16,0.16,0.16
69,0.5,0.16,0.16,0.16
70,0.5,0.16,0.16,0.16
71,0.5,0.16,0.16,0.16
72,0.5,0.16,0.16,0.16
73,0.5,0.16,0.16,0.16
74,0.5,0.16,0.16,0.16
75,0.5,0.16,0.16,0.16
76,0.5,0.16,0.16,0.16
77,0.5,0.16,0.16,0.16
78,0.5,0.16,0.16,0.16
79,0.5,0.16,0.16,0.16
80,0.5,0.16,0.16,0.16
81,0.5,0.16,0.16,0.16
82,0.5,0.16,0.16,0.16
83,0.5,0.16,0.16,0.16
84,0.5,0.16,0.16,0.16
85,0.5,0.16,0.16,0.16
86,0.5,0.16,0.16,0.16
87,0.5,0.16,0.16,0.16
88,0.5,0.16,0.16,0.16
89,0.5,0.16,0.16,0.16
90,0.5,0.16,0.16,0.16
91,0.5,0.16,0.16,0.16
92,0.5,0.16,0.16,0.16
93,0.5,0.16,0.16,0.16
94,0.5,0.16,0.16,0.16
95,0.5,0.16,0.16,0.16
96,0.5,0.16,0.16,0.16
97,0.5,0.16,0.16,0.16
98,0.5,0.16,0.16,0.16
99,0.5,0.16,0.16,0.16
